"module","verdict","count"
"01","UNRESOLVED_MAPPING","160"
"01","VERIFIED_MAPPING","35"
"02","VERIFIED_MAPPING","29"
"03","NO_OBSERVED_DATA","10"
"03","UNRESOLVED_MAPPING","235"
"03","VERIFIED_MAPPING","22"
"04","NO_OBSERVED_DATA","10"
"04","UNRESOLVED_MAPPING","380"
"04","VERIFIED_MAPPING","52"
"05","NO_OBSERVED_DATA","85"
"05","UNRESOLVED_MAPPING","773"
"05","VERIFIED_MAPPING","65"
"07","UNRESOLVED_MAPPING","18"
"07","VERIFIED_MAPPING","3"
"08","UNRESOLVED_MAPPING","8"
"08","VERIFIED_MAPPING","5"
"09","UNRESOLVED_MAPPING","14"
"09","VERIFIED_MAPPING","3"
"10","UNRESOLVED_MAPPING","14"
"10","VERIFIED_MAPPING","3"
"11","UNRESOLVED_MAPPING","10"
"11","VERIFIED_MAPPING","4"
"12","UNRESOLVED_MAPPING","13"
"12","VERIFIED_MAPPING","4"
"13","UNRESOLVED_MAPPING","15"
"13","VERIFIED_MAPPING","3"
"15","UNRESOLVED_MAPPING","5"
"15","VERIFIED_MAPPING","3"
"16","UNRESOLVED_MAPPING","14"
"16","VERIFIED_MAPPING","3"
"17","UNRESOLVED_MAPPING","14"
"17","VERIFIED_MAPPING","3"
"18","NO_OBSERVED_DATA","3"
"18","UNRESOLVED_MAPPING","6"
"18","VERIFIED_MAPPING","3"
"22","UNRESOLVED_MAPPING","12"
"22","VERIFIED_MAPPING","2"
"23","UNRESOLVED_MAPPING","12"
"23","VERIFIED_MAPPING","2"
"24","UNRESOLVED_MAPPING","12"
"24","VERIFIED_MAPPING","2"
"25","UNRESOLVED_MAPPING","7"
"25","VERIFIED_MAPPING","5"
"26","UNRESOLVED_MAPPING","9"
"26","VERIFIED_MAPPING","2"
"27","UNRESOLVED_MAPPING","13"
"27","VERIFIED_MAPPING","2"
"28","UNRESOLVED_MAPPING","10"
"28","VERIFIED_MAPPING","2"
"34","VERIFIED_MAPPING","7"
"37","UNRESOLVED_MAPPING","25"
"37","VERIFIED_MAPPING","36"
"77","UNRESOLVED_MAPPING","6"
"77","VERIFIED_MAPPING","4"
"78","UNRESOLVED_MAPPING","14"
"78","VERIFIED_MAPPING","3"
"84","UNRESOLVED_MAPPING","24"
"84","VERIFIED_MAPPING","3"
"85","NO_OBSERVED_DATA","4"
"85","UNRESOLVED_MAPPING","97"
"85","VERIFIED_MAPPING","282"
